"Nub_ID","Time","Species","Coral","Color","Colony","Treatment","Tank","Assignment","Memory_num","Fo","Fm","Yield"
"R133_Por7_CH_3.1",2,"Porites",133,"R",7,3,1,"CH",642,427,1047,0.592
"R134_Por7_CH_0.3",2,"Porites",134,"R",7,0,3,"CH",573,531,1350,0.607
"R135_Por7_CH_1.2",2,"Porites",135,"R",7,1,2,"CH",620,507,1389,0.635
"R136_Por7_CH_3.2",2,"Porites",136,"R",7,3,2,"CH",627,544,1342,0.595
"R137_Por7_CH_T0.",2,"Porites",137,"R",7,NA,NA,"T0",NA,NA,NA,NA
"R138_Por7_CH_2.1",2,"Porites",138,"R",7,2,1,"CH",657,494,1236,0.6
"R139_Por7_CH_4.1",2,"Porites",139,"R",7,4,1,"CH",647,326,945,0.655
"R140_Por7_CH_0.1",2,"Porites",140,"R",7,0,1,"CH",668,381,861,0.557
"R161_Por8_CH_2.1",2,"Porites",161,"R",8,2,1,"CH",664,322,880,0.634
"R162_Por8_CH_0.2",2,"Porites",162,"R",8,0,2,"CH",635,328,839,0.609
"R163_Por8_TP_2.1",2,"Porites",163,"R",8,2,1,"TP",662,392,1071,0.634
"R164_Por8_CH_0.3",2,"Porites",164,"R",8,0,3,"CH",577,422,1098,0.616
"R165_Por8_CH_T0.",2,"Porites",165,"R",8,NA,NA,"T0",NA,NA,NA,NA
"R166_Por8_CH_T0.",2,"Porites",166,"R",8,NA,NA,"T0",NA,NA,NA,NA
"R167_Por8_TP_4.2",2,"Porites",167,"R",8,4,2,"TP",612,381,1106,0.656
"R168_Por8_CH_1.2",2,"Porites",168,"R",8,1,2,"CH",615,289,777,0.628
"R169_Por8_CH_3.2",2,"Porites",169,"R",8,3,2,"CH",624,352,988,0.644
"R170_Por8_CH_4.3",2,"Porites",170,"R",8,4,3,"CH",688,452,1217,0.629
"R171_Por8_CH_4.2",2,"Porites",171,"R",8,4,2,"CH",610,390,1056,0.631
"R172_Por8_CH_2.2",2,"Porites",172,"R",8,2,2,"CH",600,377,994,0.621
"R173_Por8_CH_4.1",2,"Porites",173,"R",8,4,1,"CH",648,410,1105,0.629
"R174_Por8_CH_0.1",2,"Porites",174,"R",8,0,1,"CH",673,428,1126,0.62
"R175_Por8_CH_1.1",2,"Porites",175,"R",8,1,1,"CH",676,403,1099,0.633
"R176_Por8_CH_3.3",2,"Porites",176,"R",8,3,3,"CH",686,306,830,0.631
"R177_Por8_CH_2.3",2,"Porites",177,"R",8,2,3,"CH",588,431,1222,0.647
"R178_Por8_CH_1.3",2,"Porites",178,"R",8,1,3,"CH",580,451,1164,0.613
"R179_Por8_TP_0.3",2,"Porites",179,"R",8,0,3,"TP",571,446,1084,0.589
"R180_Por8_CH_3.1",2,"Porites",180,"R",8,3,1,"CH",643,249,632,0.606
"G021_Poc2_CH_0.2",3,"Pocillopora",21,"G",2,0,2,"CH",1023,364,1034,0.648
"G022_Poc2_CH_T0.",3,"Pocillopora",22,"G",2,NA,NA,"T0",NA,NA,NA,NA
"G023_Poc2_CH_1.2",3,"Pocillopora",23,"G",2,1,2,"CH",1041,355,1453,0.756
"G024_Poc2_CH_3.2",3,"Pocillopora",24,"G",2,3,2,"CH",1048,502,1675,0.7
"G025_Poc2_TP_2.2",3,"Pocillopora",25,"G",2,2,2,"TP",1033,525,1713,0.694
"G026_Poc2_CH_2.1",3,"Pocillopora",26,"G",2,2,1,"CH",1002,520,1789,0.709
"G027_Poc2_CH_1.3",3,"Pocillopora",27,"G",2,1,3,"CH",1065,356,1131,0.685
"G028_Poc2_CH_4.2",3,"Pocillopora",28,"G",2,4,2,"CH",1012,342,1127,0.697
"G029_Poc2_CH_2.2",3,"Pocillopora",29,"G",2,2,2,"CH",1030,515,1725,0.701
"G030_Poc2_TP_0.1",3,"Pocillopora",30,"G",2,0,1,"TP",981,347,1011,0.657
"G031_Poc2_TP_4.2",3,"Pocillopora",31,"G",2,4,2,"TP",1010,493,1711,0.712
"G032_Poc2_CH_1.1",3,"Pocillopora",32,"G",2,1,1,"CH",968,384,1291,0.703
"G033_Poc2_CH_3.3",3,"Pocillopora",33,"G",2,3,3,"CH",993,394,1306,0.698
"G034_Poc2_CH_T0.",3,"Pocillopora",34,"G",2,NA,NA,"T0",NA,NA,NA,NA
"G035_Poc2_CH_0.3",3,"Pocillopora",35,"G",2,0,3,"CH",1082,342,1208,0.717
"G036_Poc2_CH_0.1",3,"Pocillopora",36,"G",2,0,1,"CH",977,504,1587,0.682
"G037_Poc2_CH_2.3",3,"Pocillopora",37,"G",2,2,3,"CH",1056,454,1395,0.675
"G038_Poc2_CH_4.3",3,"Pocillopora",38,"G",2,4,3,"CH",1078,346,1151,0.699
"G039_Poc2_CH_3.1",3,"Pocillopora",39,"G",2,3,1,"CH",967,424,1425,0.702
"G040_Poc2_CH_4.1",3,"Pocillopora",40,"G",2,4,1,"CH",989,459,1595,0.712
"G041_Poc3_CH_1.2",3,"Pocillopora",41,"G",3,1,2,"CH",1040,303,929,0.674
"G042_Poc3_CH_1.1",3,"Pocillopora",42,"G",3,1,1,"CH",971,357,1156,0.691
"G043_Poc3_CH_3.3",3,"Pocillopora",43,"G",3,3,3,"CH",994,523,1918,0.727
"G044_Poc3_CH_T0.",3,"Pocillopora",44,"G",3,NA,NA,"T0",NA,NA,NA,NA
"G045_Poc3_CH_4.3",3,"Pocillopora",45,"G",3,4,3,"CH",1077,411,1358,0.697
"G046_Poc3_TP_4.3",3,"Pocillopora",46,"G",3,4,3,"TP",1071,289,946,0.695
"G047_Poc3_TP_2.3",3,"Pocillopora",47,"G",3,2,3,"TP",1060,350,1128,0.69
"G048_Poc3_CH_0.2",3,"Pocillopora",48,"G",3,0,2,"CH",1018,510,1553,0.672
"G049_Poc3_CH_0.1",3,"Pocillopora",49,"G",3,0,1,"CH",980,293,843,0.652
"G050_Poc3_CH_2.1",3,"Pocillopora",50,"G",3,2,1,"CH",1003,520,1677,0.69
"G051_Poc3_TP_0.1",3,"Pocillopora",51,"G",3,0,1,"TP",979,331,1018,0.675
"G052_Poc3_CH_2.3",3,"Pocillopora",52,"G",3,2,3,"CH",1059,356,1193,0.702
"G053_Poc3_CH_2.2",3,"Pocillopora",53,"G",3,2,2,"CH",1035,404,1317,0.693
"G054_Poc3_CH_4.1",3,"Pocillopora",54,"G",3,4,1,"CH",988,368,1216,0.697
"G055_Poc3_CH_3.1",3,"Pocillopora",55,"G",3,3,1,"CH",965,357,1237,0.711
"G056_Poc3_CH_3.2",3,"Pocillopora",56,"G",3,3,2,"CH",1044,455,1431,0.682
"G057_Poc3_CH_1.3",3,"Pocillopora",57,"G",3,1,3,"CH",1068,344,1041,0.67
"G058_Poc3_CH_T0.",3,"Pocillopora",58,"G",3,NA,NA,"T0",NA,NA,NA,NA
"G059_Poc3_CH_0.3",3,"Pocillopora",59,"G",3,0,3,"CH",1079,359,1001,0.641
"G060_Poc3_CH_4.2",3,"Pocillopora",60,"G",3,4,2,"CH",1009,418,1335,0.687
"G061_Poc4_CH_3.3",3,"Pocillopora",61,"G",4,3,3,"CH",1031,292,712,0.59
"G062_Poc4_CH_1.3",3,"Pocillopora",62,"G",4,1,3,"CH",1064,422,1200,0.648
"G063_Poc4_CH_2.1",3,"Pocillopora",63,"G",4,2,1,"CH",1004,414,1332,0.689
"G064_Poc4_CH_T0.",3,"Pocillopora",64,"G",4,NA,NA,"T0",NA,NA,NA,NA
"G065_Poc4_TP_2.1",3,"Pocillopora",65,"G",4,2,1,"TP",1006,398,1226,0.675
"G066_Poc4_CH_1.2",3,"Pocillopora",66,"G",4,1,2,"CH",1042,373,1079,0.654
"G067_Poc4_CH_T0.",3,"Pocillopora",67,"G",4,NA,NA,"T0",NA,NA,NA,NA
"G068_Poc4_CH_0.2",3,"Pocillopora",68,"G",4,0,2,"CH",1021,307,847,0.638
"G069_Poc4_TP_4.1",3,"Pocillopora",69,"G",4,4,1,"TP",990,375,1240,0.698
