Nub_ID,Species,Coral,Color,Colony.No,Assignment ,Treatment,Tank,Initial ,Initial Temperature,Final,Final Temperature,
G095_Poc5_CH_1.3,Pocillopora,95,Green,5,CH,1,3,3.257,26.299,3.3,24.76,
R013_Poc6_CH_1.3,Pocillopora,13,RED,6,CH,1,3,4.105,26.299,4.206,24.89,
R040_Poc7_CH_1.3,Pocillopora,40,RED,7,CH,1,3,3.325,26.975,3.389,24.87,
R057_Poc8_CH_1.3,Pocillopora,57,RED,8,CH,1,3,6.776,26.887,6.881,24.93,
G138_Por2_CH_1.3,Porites,138,Green,2,CH,1,3,3.423,26.741,3.498,24.76,
G145_Por3_CH_1.3,Porites,145,Green,3,CH,1,3,3.796,26.777,4.166,24.76,
G175_Por4_CH_1.3,Porites,175,Green,4,CH,1,3,3.381,26.863,3.517,24.76,
G194_Por5_CH_1.3,Porites,194,Green,5,CH,1,3,3.838,26.74,4.02,24.76,
R111_Por6_CH_1.3,Porites,111,RED,6,CH,1,3,3.652,26.744,3.819,14.87,
R130_Por7_CH_1.3,Porites,130,RED,7,CH,1,3,2.87,26.758,3.039,24.93,
R178_Por8_CH_1.3,Porites,178,RED,8,CH,1,3,3.739,26.699,3.9,24.76,
G026_Poc2_CH_2.1,Pocillopora,26,Green,2,CH,2,1,3.181,26.745,3.249,24.95,
G050_Poc3_CH_2.1,Pocillopora,50,Green,3,CH,2,1,5.095,27.088,5.222,24.95,
G063_Poc4_CH_2.1,Pocillopora,63,Green,4,CH,2,1,3.117,26.963,3.153,24.96,
G065_Poc4_TP_2.1,Pocillopora,65,Green,4,TP,2,1,3.271,26.852,3.303,24.96,
G087_Poc5_TP_2.1,Pocillopora,87,Green,5,TP,2,1,4.193,26.385,4.225,24.96,
G096_Poc5_CH_2.1,Pocillopora,96,Green,5,CH,2,1,3.019,26.371,3.042,24.96,
R009_Poc6_CH_2.1,Pocillopora,9,RED,6,CH,2,1,3.442,26.37,3.504,24.96,
R024_Poc7_CH_2.1,Pocillopora,24,RED,7,CH,2,1,3.391,26.94,3.44,24.96,
R059_Poc8_CH_2.1,Pocillopora,59,RED,8,CH,2,1,5.364,26.917,5.425,24.96,
G140_Por2_CH_2.1,Porites,140,Green,2,CH,2,1,3.808,26.728,3.945,24.96,
G149_Por3_CH_2.1,Porites,149,Green,3,CH,2,1,5.105,26.784,5.509,24.96,
G160_Por3_TP_2.1,Porites,160,Green,3,TP,2,1,4.419,26.78,4.794,24.96,
G173_Por4_CH_2.1,Porites,173,Green,4,CH,2,1,2.789,26.846,2.942,24.96,
G183_Por5_TP_2.1,Porites,183,Green,5,TP,2,1,4.324,26.753,4.52,24.96,
G192_Por5_CH_2.1,Porites,192,Green,5,CH,2,1,2.837,26.741,2.911,24.96,
R109_Por6_CH_2.1,Porites,109,RED,6,CH,2,1,4.882,26.751,4.96,24.96,
R138_Por7_CH_2.1,Porites,138,RED,7,CH,2,1,3.12,26.825,3.264,24.96,
R161_Por8_CH_2.1,Porites,161,RED,8,CH,2,1,2.695,26.7,2.769,24.96,
R163_Por8_TP_2.1,Porites,163,RED,8,TP,2,1,4.115,26.705,4.242,24.96,
G025_Poc2_TP_2.2,Pocillopora,25,Green,2,TP,2,2,3.921,26.68,3.975,25,
G029_Poc2_CH_2.2,Pocillopora,29,Green,2,CH,2,2,3.664,26.687,3.736,25,
G053_Poc3_CH_2.2,Pocillopora,53,Green,3,CH,2,2,3.754,27.129,3.815,25,
G079_Poc4_CH_2.2,Pocillopora,79,Green,4,CH,2,2,3.186,26.833,3.226,25,
G081_Poc5_CH_2.2,Pocillopora,81,Green,5,CH,2,2,3.365,26.305,3.429,24.99,
R011_Poc6_CH_2.2,Pocillopora,11,RED,6,CH,2,2,4.268,26.303,4.375,25,
R028_Poc7_TP_2.2,Pocillopora,28,RED,7,TP,2,2,2.764,26.971,2.809,24.99,
R038_Poc7_CH_2.2,Pocillopora,38,RED,7,CH,2,2,3.332,26.953,3.363,25,
R045_Poc8_CH_2.2,Pocillopora,45,RED,8,CH,2,2,5.284,26.927,5.372,25,
G126_Por2_CH_2.2,Porites,126,Green,2,CH,2,2,3.445,26.707,3.549,25.02,
G142_Por3_CH_2.2,Porites,142,Green,3,CH,2,2,3.872,26.684,4.106,25.02,
G161_Por4_CH_2.2,Porites,161,Green,4,CH,2,2,4.426,26.85,4.617,25,
G170_Por4_TP_2.2,Porites,170,Green,4,TP,2,2,3.349,26.855,3.628,24.99,
G185_Por5_CH_2.2,Porites,185,Green,5,CH,2,2,3.347,26.738,3.483,25,
R102_Por6_TP_2.2,Porites,102,RED,6,TP,2,2,3.499,26.761,3.607,25,
R103_Por6_CH_2.2,Porites,103,RED,6,CH,2,2,3.848,26.771,4.018,25.02,
R128_Por7_CH_2.2,Porites,128,RED,7,CH,2,2,4.638,26.8,4.794,25,
R172_Por8_CH_2.2,Porites,172,RED,8,CH,2,2,4.283,26.73,4.367,25,
G037_Poc2_CH_2.3,Pocillopora,37,Green,2,CH,2,3,3.581,26.73,3.633,24.97,
G047_Poc3_TP_2.3,Pocillopora,47,Green,3,TP,2,3,3.227,27.028,3.285,24.96,
G052_Poc3_CH_2.3,Pocillopora,52,Green,3,CH,2,3,5.414,27.039,5.514,24.96,
G070_Poc4_CH_2.3,Pocillopora,70,Green,4,CH,2,3,2.718,26.952,2.752,24.96,
G098_Poc5_CH_2.3,Pocillopora,98,Green,5,CH,2,3,5.922,26.386,5.955,25,
R005_Poc6_TP_2.3,Pocillopora,5,RED,6,TP,2,3,4.32,26.374,4.38,24.96,
R007_Poc6_CH_2.3,Pocillopora,7,RED,6,CH,2,3,4.441,26.356,4.509,24.96,
R037_Poc7_CH_2.3,Pocillopora,37,RED,7,CH,2,3,2.788,26.939,2.822,24.96,
R042_Poc8_TP_2.3,Pocillopora,42,RED,8,TP,2,3,4.97,26.907,5.056,24.96,
R055_Poc8_CH_2.3,Pocillopora,55,RED,8,CH,2,3,5.255,26.909,5.306,24.96,
G122_Por2_CH_2.3,Porites,122,Green,2,CH,2,3,5.038,26.707,5.148,25,
G136_Por2_TP_2.3,Porites,136,Green,2,TP,2,3,3.334,26.73,3.409,24.97,
G144_Por3_CH_2.3,Porites,144,Green,3,CH,2,3,4.499,26.792,4.851,24.96,
G166_Por4_CH_2.3,Porites,166,Green,4,CH,2,3,5.849,26.851,6.198,24.96,
G181_Por5_CH_2.3,Porites,181,Green,5,CH,2,3,3.046,26.731,3.145,24.96,
R115_Por6_CH_2.3,Porites,115,RED,6,CH,2,3,3.157,26.728,3.259,24.96,
R126_Por7_TP_2.3,Porites,126,RED,7,TP,2,3,4.25,26.74,4.392,24.96,
R127_Por7_CH_2.3,Porites,127,RED,7,CH,2,3,7.067,26.769,7.1,24.96,
R177_Por8_CH_2.3,Porites,177,RED,8,CH,2,3,3.97,26.671,4.083,24.96,
G039_Poc2_CH_3.1,Pocillopora,39,Green,2,CH,3,1,3.956,26.697,4.007,25.4,
G055_Poc3_CH_3.1,Pocillopora,55,Green,3,CH,3,1,4.389,27,4.488,25.43,
G074_Poc4_CH_3.1,Pocillopora,74,Green,4,CH,3,1,3.235,26.808,3.266,25.45,
