,ChamberID,LightM,LightB,LightR2,LightP,GoodLight?,DarkM,DarkB,DarkR2,DarkP,Good?,
59,W2.R1.C11,4.066019026,336.6977558,0.791364729,0.301984733,TRUE,-3.537351268,513.9087184,0.977287175,0.096310487,TRUE,
60,W2.R1.C12,2.111608533,254.5310355,0.99719231,0.033748785,TRUE,-0.109099313,351.8152342,0.028530885,0.891949985,FALSE,
61,W2.R2.C01,6.639377809,335.4560649,0.999874633,0.00712821,TRUE,-4.598140673,566.7853113,0.999727183,0.01051564,TRUE,
62,W2.R2.C02,1.436377809,298.9099293,0.977268701,0.096349948,TRUE,-2.582655739,378.5622575,0.522837319,0.485456251,TRUE,
63,W2.R2.C03,2.945509129,292.7934923,0.992405644,0.055549077,TRUE,-1.041615193,379.7827576,0.860661463,0.243534378,TRUE,
64,W2.R2.C04,3.286337431,235.5139849,0.945441122,0.150087114,TRUE,0.533199484,347.0247941,0.37591443,0.579829533,FALSE,
65,W2.R2.C05,-0.078408419,262.0643212,0.03588651,0.878667217,FALSE,0.080175607,260.8793158,0.851214575,0.25209877,FALSE,
66,W2.R2.C06,-1.15986117,502.8582012,0.074932829,0.823479357,FALSE,-3.995729656,548.0514428,0.988325498,0.06892043,FALSE,
67,W2.R2.C07,1.89344156,270.8325456,0.993036713,0.053185419,TRUE,0.612836134,345.7910143,0.898532012,0.206385307,FALSE,
68,W2.R2.C08,3.58930357,248.9537568,0.99912484,0.018835938,TRUE,-0.895794104,361.1886283,0.988773137,0.06758111,TRUE,
69,W2.R2.C09,4.485653323,293.4309303,0.993778748,0.050265542,TRUE,-2.936291383,434.0290503,0.999679921,0.011390207,TRUE,
70,W2.R2.C10,7.614996808,284.2328306,0.98066828,0.088802393,TRUE,-1.406929932,460.2731501,0.978859011,0.092893432,TRUE,
71,W2.R2.C11,2.140626789,289.1415003,0.952402463,0.14001654,TRUE,-0.531097444,362.2010503,0.874925361,0.230125286,TRUE,
72,W2.R2.C12,3.03719095,362.0534831,0.398811518,0.564866622,FALSE,-3.373663922,478.3802988,0.957109637,0.132805023,FALSE,
73,W2.R3.C01,2.667824842,216.1997054,0.999749998,0.010066295,TRUE,-1.91198071,324.7785306,0.988953613,0.067033683,TRUE,
74,W2.R3.C02,1.980835165,244.010652,0.985520321,0.076791522,TRUE,4.779686888,207.8373483,0.808348545,0.288470346,FALSE,
75,W2.R3.C03,4.849859934,237.8931439,0.999821732,0.008500214,TRUE,-1.719468829,370.9471957,0.986223861,0.074893841,TRUE,
76,W2.R3.C04,0.51537351,238.6567083,0.328627557,0.611356644,FALSE,1.152894884,238.0744876,0.87814726,0.227007717,FALSE,
77,W2.R3.C05,4.309322655,242.2494693,0.99625696,0.038972986,TRUE,-0.79137825,379.7293067,0.882125567,0.223108803,TRUE,
78,W2.R3.C06,8.948627976,278.3063157,0.995304727,0.04365671,TRUE,-4.34025453,505.2701063,0.997791764,0.029926974,TRUE,
79,W2.R3.C07,6.503937879,255.832155,0.988052121,0.069725906,TRUE,-2.609012748,425.0087922,0.996503276,0.037667275,TRUE,
80,W2.R3.C08,1.921624877,249.2551595,0.999997591,0.000988151,TRUE,-1.049485621,337.5140966,0.986415094,0.074369812,TRUE,
81,W2.R3.C09,7.281030055,259.7970185,0.999708143,0.010876436,TRUE,-3.475702639,429.8262218,0.99300559,0.053304423,TRUE,
82,W2.R3.C10,5.781459009,245.6793755,0.996866788,0.03565349,TRUE,-2.620293779,404.2996872,0.99348528,0.051439966,TRUE,
83,W2.R3.C11,0.154269084,244.0153053,0.291914725,0.636628074,FALSE,0.034000594,248.5475177,0.021650105,0.90598659,FALSE,
84,W2.R3.C12,1.943262311,248.403819,0.994516007,0.047187427,TRUE,-0.740638513,330.4706085,0.830337885,0.270269826,TRUE,
85,W2.R4.C01,2.953368283,250.7660682,0.991555949,0.058582602,TRUE,-0.181500514,354.3966989,0.259513381,0.659716584,FALSE,
86,W2.R4.C02,0.104763514,244.4276014,0.264654399,0.655995407,FALSE,-0.088818398,248.7244126,0.728588422,0.348860645,FALSE,
87,W2.R4.C03,2.272385772,210.0656127,0.998976107,0.020374248,TRUE,-1.077263951,321.643519,0.988951116,0.067041286,TRUE,
88,W2.R4.C04,4.212799306,246.2544212,0.900848375,0.203930906,TRUE,-1.73566649,422.5950501,0.994818456,0.04586543,TRUE,
89,W2.R4.C05,1.911010187,226.7602818,0.958650772,0.130362663,TRUE,0.688980428,304.0356747,0.785916891,0.306232221,FALSE,
90,W2.R4.C06,8.748100453,222.2331446,0.984554396,0.079324427,TRUE,-2.397279652,486.0983678,0.991882222,0.057436511,TRUE,
91,W2.R4.C07,3.876965011,210.2679555,0.98122577,0.087504335,TRUE,-2.073757815,378.2055792,0.999670458,0.011557382,TRUE,
92,W2.R4.C08,7.366494947,430.7335623,0.937636392,0.1606818,TRUE,-6.187792353,695.7314245,0.940541818,0.15681467,TRUE,
93,W2.R4.C09,2.719225189,248.6717626,0.983803713,0.081239494,TRUE,-2.03358783,382.2899047,0.932053923,0.167883397,TRUE,
94,W2.R4.C10,3.189888532,225.527775,0.932707405,0.167054972,TRUE,-1.433950759,357.3440827,0.937842762,0.160409938,TRUE,
95,W2.R4.C11,0.011302497,260.0955171,0.00440462,0.957718179,FALSE,-0.34731178,270.3235683,0.765046796,0.322156785,FALSE,
