Nub_ID,Nubbin.ID,Colony,Nutrient.Level,Tank.Level,Species,Assignment,d.wt,Chip_X.mm,Chip_Y.mm,Chip_Z.mm,Dome.Cone,r,chunk_SA,nub_SA,Total_SA,bw.growth,std.growth
G080_Poc4_CH_N0.T1,G080_Poc4_CH,4,N0,T1,POC,CH,0.37611,2.2,1.87,2.73,Cone,2.035,34.77878119,1761.175614,1795.954396,0.965275633,0.000537472
G081_Poc5_CH_N2.T2,G081_Poc5_CH,5,N2,T2,POC,CH,0.13402,3.34,3.35,11.37,Cone,3.345,159.697847,742.6170979,902.3149449,1.901864588,0.002107761
G082_Poc5_CH_N3.T2,G082_Poc5_CH,5,N3,T2,POC,CH,0.23918,4.89,6.2,5.89,Cone,5.545,237.5138266,1185.062526,1422.576352,0.509936362,0.00035846
G083_Poc5_CH_T0,G083_Poc5_CH,5,,T0,POC,T0,0.39988,1.68,2.29,6.76,Cone,NA,NA,NA,NA,NA,NA
G084_Poc5_CH_T0,G084_Poc5_CH,5,,T0,POC,T0,0.33636,2.77,2.24,7.57,Cone,NA,NA,NA,NA,NA,NA
G085_Poc5_CH_N4.T1,G085_Poc5_CH,5,N4,T1,POC,CH,0.17849,6.75,6.99,17.2,Cone,6.87,548.0129015,929.7181646,1477.731066,0.505724839,0.000342231
G086_Poc5_CH_N4.T3,G086_Poc5_CH,5,N4,T3,POC,CH,0.81231,3.47,2.66,5.82,Cone,3.065,92.84973672,3596.423766,3689.273502,0.459300251,0.000124496
G087_Poc5_TP_N3.T2,G087_Poc5_TP,5,N3,T2,POC,TP,0,NA,NA,NA,,NA,NA,NA,NA,NA,NA
G088_Poc5_CH_N0.T1,G088_Poc5_CH,5,N0,T1,POC,CH,0.26974,6.03,7.23,18.28,Cone,6.63,543.1137949,1313.639287,1856.753082,0.778295635,0.00041917
G089_Poc5_CH_N0.T3,G089_Poc5_CH,5,N0,T3,POC,CH,0.30679,2.96,5.45,4.79,Cone,4.205,139.7509765,1469.521782,1609.272758,1.812467424,0.001126265
G090_Poc5_TP_N4.T3,G090_Poc5_TP,5,N4,T3,POC,TP,0,NA,NA,NA,,NA,NA,NA,NA,NA,NA
G091_Poc5_CH_N1.T2,G091_Poc5_CH,5,N1,T2,POC,CH,0.02229,4.49,7.81,9.34,Cone,6.15,334.8861367,272.5293493,607.4154861,2.476794242,0.004077595
G092_Poc5_CH_N1.T1,G092_Poc5_CH,5,N1,T1,POC,CH,0.21319,3.45,2.23,4.26,Cone,2.84,71.01905459,1075.713375,1146.73243,2.984588617,0.00260269
G093_Poc5_TP_N0.T3,G093_Poc5_TP,5,N0,T3,POC,TP,0,NA,NA,NA,,NA,NA,NA,NA,NA,NA
G094_Poc5_CH_N3.T1,G094_Poc5_CH,5,N3,T1,POC,CH,0.24618,4.6,4.68,6.24,Cone,4.64,180.9888666,1214.514009,1395.502876,1.092704893,0.000783019
